,Ruta,Operador,Tipo de vuelo,Tipo de aeronave,Registro,Total a bordo,Pasajeros a bordo,Personal a bordo,Cantidad de fallecidos,Pasajeros fallecidos,Personal fallecidos,Accidente terrestre,Año,Tasa_Mortalidad_Anual
0,"Catherham, Surrey, UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,G-EAHF,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1919,100.0
1,"Newark, New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,72,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1920,100.0
2,"London, England",Handley Page Transport,London - Paris,Handley Page HP-16,G-EAMA,8.0,6.0,2.0,4.0,2.0,2.0,0.0,1920,50.0
3,"Paris, France",Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1921,100.0
4,"Near Murchinson River, Australia",West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1921,100.0
5,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,7.0,5.0,2.0,7.0,5.0,2.0,0.0,1922,100.0
6,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,F-ACMH,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1922,100.0
7,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,F-FREI,5.0,4.0,1.0,5.0,4.0,1.0,0.0,1922,100.0
8,"Venice, Italy",de Havilland Air Service,Venice - London,de Havilland DH-9,G-EAYT,4.0,3.0,1.0,4.0,3.0,1.0,0.0,1922,100.0
9,"Fez, Morocco",Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1922,100.0
10,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,F-AEBY,6.0,4.0,2.0,6.0,4.0,2.0,0.0,1923,100.0
11,"East Mallling, United Kingdom",Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,11.0,9.0,2.0,1.0,1.0,0.0,0.0,1923,9.090909090909092
12,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,Croydon - Manchester,de Havilland DH-34,G-EBBS,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1923,100.0
13,Over the English Channel,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,3.0,2.0,1.0,3.0,2.0,1.0,0.0,1924,100.0
14,"Barranquilla, Colombia",SCADTA,Barranquilla - Bogota,Junkers F-13,A16,5.0,3.0,2.0,5.0,3.0,2.0,0.0,1924,100.0
15,"Purley, England",Imperial Airways,London - Paris,de Havilland DH-34B,G-EBBX,8.0,7.0,1.0,8.0,7.0,1.0,0.0,1924,100.0
